element,n_points,E_min_MeV,E_max_MeV,xs_min_barn,xs_max_barn,xs_mean_barn,xs_median_barn,log10_xs_mean,log10_xs_std,auc_over_logE,slope_1e-3_to_1e-1,slope_1e-1_to_10,slope_10_to_200,xs_at_0.001_MeV,xs_at_0.01_MeV,xs_at_0.1_MeV,xs_at_1_MeV,xs_at_10_MeV,xs_at_100_MeV
Fe,88202,1e-05,200000000.0,0.0,200000000.0,7918.333343323986,113.60675,2.021688083262847,0.626315574647175,8862037.110711131,-1.4237282736629469,0.9700286022816205,0.43427874513965364,20.077671186698918,8.510266999999999,1.722049,450.99999999999983,0.1710758,0.07975794999999998
Ga,22734,1e-05,180000000.0,0.0,200000000.0,29933.075690438065,25.158735,1.3265900232096193,0.7346809116068758,6420755.132527443,-1.1590241766903848,0.7517736687855303,0.32339151403622146,8.151583227837799,2.360857,0.9645773,450.99999999999983,100.0,1.131153250393467
Si,12592,1e-05,200000000.0,0.0,200000000.0,54535.844659169205,564.82525,2.400314291755717,0.9878440348295403,8892600.736330284,-1.0389715760087581,0.9890049819118035,0.23874085981044635,4.059785305437203,1.64343,0.3567237,450.99999999999983,100.0,0.014620580837701305
